date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2021-07-21,USA-72999,Unknown,Puerto Rico,2,4.57,,0,0,
2021-07-21,USA-72153,Yauco,Puerto Rico,0,0.71,2.11,0,0,0
2021-07-21,USA-72151,Yabucoa,Puerto Rico,1,0.14,0.44,0,0,0
2021-07-21,USA-72149,Villalba,Puerto Rico,0,0.14,0.67,0,0,0
2021-07-21,USA-72147,Vieques,Puerto Rico,1,0.43,5.12,0,0,0
2021-07-21,USA-72145,Vega Baja,Puerto Rico,2,2.14,4.27,0,0,0
2021-07-21,USA-72143,Vega Alta,Puerto Rico,2,1.43,3.99,0,0,0
2021-07-21,USA-72141,Utuado,Puerto Rico,2,1.29,4.67,0,0,0
2021-07-21,USA-72139,Trujillo Alto,Puerto Rico,2,3.71,5.83,0,0,0
2021-07-21,USA-72137,Toa Baja,Puerto Rico,1,4.43,5.93,0,0,0
2021-07-21,USA-72135,Toa Alta,Puerto Rico,2,3.29,4.62,0,0,0
2021-07-21,USA-72133,Santa Isabel,Puerto Rico,0,0,0,0,0,0
2021-07-21,USA-72131,San Sebastian,Puerto Rico,1,1.86,5.21,0,0,0
2021-07-21,USA-72129,San Lorenzo,Puerto Rico,0,0.43,1.19,0,0,0
2021-07-21,USA-72127,San Juan,Puerto Rico,10,22.71,7.08,0,0,0
2021-07-21,USA-72125,San German,Puerto Rico,2,2.29,7.56,0,0,0
2021-07-21,USA-72123,Salinas,Puerto Rico,0,0.43,1.58,0,0,0
2021-07-21,USA-72121,Sabana Grande,Puerto Rico,1,1.14,5.26,0,0,0
2021-07-21,USA-72119,Rio Grande,Puerto Rico,0,1.5,3.13,0,0,0
2021-07-21,USA-72117,Rincon,Puerto Rico,0,0.57,4.19,0,0,0
2021-07-21,USA-72115,Quebradillas,Puerto Rico,0,0.86,3.75,0,0,0
2021-07-21,USA-72113,Ponce,Puerto Rico,2,4.86,3.65,0,0,0
2021-07-21,USA-72111,Penuelas,Puerto Rico,0,0.14,0.74,0,0,0
2021-07-21,USA-72109,Patillas,Puerto Rico,0,0,0,0,0,0
2021-07-21,USA-72107,Orocovis,Puerto Rico,0,0.71,3.53,0,0,0
2021-07-21,USA-72105,Naranjito,Puerto Rico,1,0.43,1.58,0,0,0
2021-07-21,USA-72103,Naguabo,Puerto Rico,0,0.14,0.56,0,0,0
2021-07-21,USA-72101,Morovis,Puerto Rico,0,0.14,0.48,0,0,0
2021-07-21,USA-72099,Moca,Puerto Rico,1,3,8.59,0,0,0
2021-07-21,USA-72097,Mayaguez,Puerto Rico,11,13.43,18.65,0,0,0
2021-07-21,USA-72095,Maunabo,Puerto Rico,0,0.14,1.38,0,0,0
2021-07-21,USA-72093,Maricao,Puerto Rico,0,0.29,5.27,0,0,0
2021-07-21,USA-72091,Manati,Puerto Rico,0,1.29,3.44,0,0,0
2021-07-21,USA-72089,Luquillo,Puerto Rico,0,1.57,8.93,0,0,0
2021-07-21,USA-72087,Loiza,Puerto Rico,0,1.14,4.63,0,0,0
2021-07-21,USA-72085,Las Piedras,Puerto Rico,0,0.71,1.96,0,0,0
2021-07-21,USA-72083,Las Marias,Puerto Rico,0,0.29,3.59,0,0,0
2021-07-21,USA-72081,Lares,Puerto Rico,0,0.14,0.58,0,0,0
2021-07-21,USA-72079,Lajas,Puerto Rico,0,0.86,3.9,0,0,0
2021-07-21,USA-72077,Juncos,Puerto Rico,1,3.14,8.33,0,0,0
2021-07-21,USA-72075,Juana Diaz,Puerto Rico,1,1.71,3.85,0,0,0
2021-07-21,USA-72073,Jayuya,Puerto Rico,0,0.14,1.02,0,0,0
2021-07-21,USA-72071,Isabela,Puerto Rico,2,4.14,10.29,0,0,0
2021-07-21,USA-72069,Humacao,Puerto Rico,2,2.43,4.81,0,0,0
2021-07-21,USA-72067,Hormigueros,Puerto Rico,0,2.57,16.63,0,0,0
2021-07-21,USA-72065,Hatillo,Puerto Rico,1,1.57,4.05,0,0,0
2021-07-21,USA-72063,Gurabo,Puerto Rico,1,1.83,3.98,0,0,0
2021-07-21,USA-72061,Guaynabo,Puerto Rico,1,5.71,6.82,0,0,0
2021-07-21,USA-72059,Guayanilla,Puerto Rico,0,0.86,4.84,0,0,0
2021-07-21,USA-72057,Guayama,Puerto Rico,0,0.71,1.81,0,0,0
2021-07-21,USA-72055,Guanica,Puerto Rico,0,0.57,3.67,0,0,0
2021-07-21,USA-72054,Florida,Puerto Rico,0,0.57,5.04,0,0,0
2021-07-21,USA-72053,Fajardo,Puerto Rico,1,1.14,3.85,0,0,0
2021-07-21,USA-72051,Dorado,Puerto Rico,0,3.57,9.98,0,0,0
2021-07-21,USA-72049,Culebra,Puerto Rico,0,0,0,0,0,0
2021-07-21,USA-72047,Corozal,Puerto Rico,0,0.57,1.77,0,0,0
2021-07-21,USA-72045,Comerio,Puerto Rico,0,1.14,6.15,0,0,0
2021-07-21,USA-72043,Coamo,Puerto Rico,0,0.57,1.51,0,0,0
2021-07-21,USA-72041,Cidra,Puerto Rico,0,0.71,1.87,0,0,0
2021-07-21,USA-72039,Ciales,Puerto Rico,1,0.29,1.79,0,0,0
2021-07-21,USA-72037,Ceiba,Puerto Rico,1,0.43,3.89,0,0,0
2021-07-21,USA-72035,Cayey,Puerto Rico,1,1,2.36,0,0,0
2021-07-21,USA-72033,Catano,Puerto Rico,0,0.5,2.15,0,0,0
2021-07-21,USA-72031,Carolina,Puerto Rico,5,15.14,10.26,0,0,0
2021-07-21,USA-72029,Canovanas,Puerto Rico,0,1.71,3.87,0,0,0
2021-07-21,USA-72027,Camuy,Puerto Rico,0,0.57,1.87,0,0,0
2021-07-21,USA-72025,Caguas,Puerto Rico,3,6.86,5.51,0,0,0
2021-07-21,USA-72023,Cabo Rojo,Puerto Rico,7,4.57,9.7,0,0,0
2021-07-21,USA-72021,Bayamon,Puerto Rico,4,7.43,4.36,0,0,0
2021-07-21,USA-72019,Barranquitas,Puerto Rico,1,1,3.64,0,0,0
2021-07-21,USA-72017,Barceloneta,Puerto Rico,1,0.57,2.43,0,0,0
2021-07-21,USA-72015,Arroyo,Puerto Rico,0,0,0,0,0,0
2021-07-21,USA-72013,Arecibo,Puerto Rico,2,2.43,2.96,0,0,0
2021-07-21,USA-72011,Anasco,Puerto Rico,0,2.29,8.78,0,0,0
2021-07-21,USA-72009,Aibonito,Puerto Rico,0,0,0,0,0,0
2021-07-21,USA-72007,Aguas Buenas,Puerto Rico,0,0.86,3.45,0,0,0
2021-07-21,USA-72005,Aguadilla,Puerto Rico,3,5,9.88,0,0,0
2021-07-21,USA-72003,Aguada,Puerto Rico,3,5.29,14.43,0,0,0
